Planet_Name,Planet_Radius,Planet_Mass,Orbital_Period,Semi_Major_Axis,Equilibrium_Temp,Planet_Density,Stellar_Temp,Stellar_Luminosity,Stellar_Metallicity,Habitability_Score_Index,Stellar_Compatibility_Index,Orbital_Stability_Factor,StarType_A,StarType_F,StarType_G,StarType_K,StarType_M,Target_Habitable
TOI-1386 b,6.2163865,45.8,22.411880912500003,0.16746499999999997,615.03,1.04,5735.0,1.0240001022367002,0.149,0.21123368527826317,0.9995891955143901,0.09597312868857896,False,False,False,True,False,1
TOI-1410.01,3.10083009,12.5,1.21687,0.0207,1236.7,2.3,4635.0,0.2714344707869742,0.328,0.08349796771511181,0.7480226654971215,0.08846571154280479,False,False,False,True,False,0
TOI-1411 b,1.19880592,2.0,1.4520527,0.02122,976.4,6.36,4115.0,0.2714344707869742,0.012,0.11121403553070786,0.5408729401075548,0.2019657624352432,False,False,False,True,False,1
TOI-1416 b,1.62,3.48,1.0697568,0.019,1517.0,4.5,4884.0,0.9412608599916935,0.08,0.05721525678701305,0.8372705692311392,0.08591078640907435,False,False,True,False,False,0
TOI-1420 b,11.89,25.1,6.9561063,0.071,957.0,0.082,5510.0,0.7050014334091791,0.28,0.10064511736686504,0.9841658111209566,0.005760935349018021,False,False,False,True,False,1
TOI-1422 b,3.83,9.5,12.99894,0.107,870.0,0.93,5599.0,0.9412608599916935,0.07,0.17043431985495008,0.9929050665039783,0.014472477027752709,False,False,True,False,False,1
TOI-1422 c,2.61,14.0,22.411880912500003,0.16746499999999997,628.0,4.3,5599.0,0.9412608599916935,0.07,0.2721619697396469,0.9929050665039783,0.09597312868857896,False,False,True,False,False,1
TOI-1431 b,16.70138124,762.4431696,2.650237,0.046,2370.0,1.17,7534.0,2.8468527213318002,0.09,0.03313735107471812,0.5039741901599107,0.26315203606316184,True,False,False,False,False,0
TOI-1438 b,3.04,9.4,5.13967,0.0553,971.0,1.8,5230.0,0.44999739532580313,0.03,0.1451571482363091,0.9354437884721812,0.06814186985243736,False,False,False,True,False,1
TOI-1438 c,2.75,10.6,9.428089,0.083,794.0,2.9,5230.0,0.44999739532580313,0.03,0.20458698260533997,0.9354437884721812,0.06632506121089604,False,False,False,True,False,1
