Planet_Radius,Planet_Mass,Orbital_Period,Semi_Major_Axis,Equilibrium_Temp,Planet_Density,Stellar_Temp,Stellar_Luminosity,Stellar_Metallicity,StarType_A,StarType_F,StarType_G,StarType_K,StarType_M,Habitability_Score,Predicted_Class,Rank
11.09691,613.4119,22.411880912500003,0.1674649999999999,347.0,2.46,5830.0,0.9412608599916936,0.16,False,False,False,True,False,0.99918014,1,63
2.78,8.5,16.70988,0.054235,824.0,1.42,5746.0,0.9412608599916936,-0.02,False,False,False,True,False,0.9990988,1,64
11.67975789,197.05361234,22.411880912500003,0.1674649999999999,467.0,1.42,5890.0,2.079984027667402,-0.008,False,False,False,True,False,0.99905497,1,65
4.2427861,38.5,22.411880912500003,0.1674649999999999,748.4,2.76,5841.0,2.760005833605496,0.226,False,False,False,True,False,0.99899215,1,66
11.2089807,762.4431696,22.411880912500003,0.158,799.0,1.42,5581.0,0.9699961265109994,0.22,False,False,False,True,False,0.9989717,1,67
11.99360935,762.4431696,22.411880912500003,0.1674649999999999,688.0,1.42,5980.0,0.9412608599916936,0.15,False,False,True,False,False,0.9989706,1,68
11.09689089,212.94503269,22.411880912500003,0.1525,378.0,0.85,3926.0,0.9412608599916936,0.28,False,False,False,True,False,0.99894315,1,69
2.45,7.8,14.339156,0.1202,943.0,2.9,6203.0,1.9069969568167835,-0.12,False,True,False,False,False,0.99860376,1,70
10.42435205,762.4431696,13.33668,0.112,860.0,6.8187500000000005,5651.0,1.1249934658505203,0.3,False,False,False,True,False,0.9985928,1,71
1.212,2.1,4.34934,0.04899,1066.0,6.3,5271.0,0.9412608599916936,-0.06,False,False,False,True,False,0.99843735,1,72
2.40144286,6.4,4.2529913,0.0496,1004.9,2.53,5499.0,0.6030037319942385,-0.049,False,False,False,True,False,0.9984126,1,73
1.597,10.0,4.901452,0.06064,1378.0,6.8187500000000005,5854.0,0.9412608599916936,0.321,False,False,False,True,False,0.9982741,1,74
4.13204907,27.0,3.31599,0.0417,975.0,2.09,5065.0,0.3749989053574923,0.182,False,False,False,True,False,0.997505,1,75
7.16253867,43.86032017,18.38818,0.1528,1027.0,0.65,6095.0,2.8468527213318,0.175,False,False,False,True,False,0.9971409,1,76
11.209,762.4431696,9.62468,0.0871,910.0,6.8187500000000005,5300.0,0.9412608599916936,0.28,False,False,False,True,False,0.9969927,1,77
4.32,15.6,10.423648,0.1013,1012.0,0.91,6182.0,2.8468527213318,0.0228,False,False,False,True,False,0.996929,1,78
6.6,32.0,6.753581,0.073,1180.0,0.6,5808.0,0.9412608599916936,0.2,False,False,False,True,False,0.9965965,1,79
11.30986153,419.53349724,22.411880912500003,0.1674649999999999,441.0,1.6,5700.0,2.8468527213318,-0.21,False,False,True,False,False,0.99625164,1,80
3.54,4.6,22.411880912500003,0.054235,367.0,0.56,6320.0,0.9412608599916936,-0.1,False,False,False,True,False,0.99579716,1,81
1.704,4.53,3.81673,0.0422,871.0,5.02,4552.0,0.9412608599916936,-0.284,False,False,False,True,False,0.9950648,1,82
13.56286665,295.58041851,6.569188,0.068,962.0,0.66,5585.0,0.9412608599916936,0.1,False,False,True,False,False,0.9946313,1,83
3.22,8.97,8.1594667,0.054235,1102.0,1.47,5844.0,0.9412608599916936,0.03,False,False,True,False,False,0.99351114,1,84
8.00321222,38.45723725,20.380799,0.1597,966.0,0.41,6380.0,2.8468527213318,-0.101,False,False,False,True,False,0.993383,1,85
2.46,9.5,2.6278838,0.0344,1108.0,3.46,4850.0,0.3090010818892899,-0.04,False,False,False,True,False,0.9928994,1,86
1.52,3.51,4.1572888,0.04869,1361.2,5.48,5737.0,0.9412608599916936,-0.39,False,False,True,False,False,0.9918181,1,87
12.520453,617.22586,15.168865,0.1207,974.0,1.847,5788.0,1.1959967513693968,0.14,False,False,True,False,False,0.99105436,1,88
